time,agg_demand,agg_supply,historical_prices,no_total_transactions,no_trades_market,no_market_transactions,no_nat_grid_transactions
2184,12870.566666666666,0,0,14,0,7,7
2185,13215.466666666667,0,0,14,0,7,7
2186,11908.116666666663,0,0,16,0,8,8
2187,12993.333333333332,0,0,14,0,7,7
2188,9334.18333333333,0,0,14,0,7,7
2189,10542.416666666668,0,0,18,0,9,9
2190,12720.733333333332,361.9166666666667,0,16,0,8,8
2191,10497.5,2218.8666666666663,0,16,0,8,8
2192,13831.983333333332,3588.2666666666664,0,9,0,5,4
2193,11576.916666666668,10765.4,0,5,0,3,2
2194,9555.716666666667,2533.183333333333,0,13,0,7,6
2195,9914.333333333332,3433.55,0,11,0,6,5
2196,12932.066666666666,8930.733333333334,0,5,0,3,2
2197,15485.216666666665,7345.299999999999,0,9,0,5,4
2198,20450.233333333334,5990.549999999999,0,13,0,7,6
2199,15637.866666666667,11169.333333333336,0,5,0,3,2
2200,16637.63333333333,8915.6,0,4,0,2,2
2201,12576.466666666667,3507.366666666666,0,14,0,7,7
2202,11648.633333333333,334.6833333333333,0,16,0,8,8
2203,13100.649999999998,0,0,16,0,8,8
2204,13134.166666666668,0,0,24,0,12,12
2205,11094.366666666667,0,0,18,0,9,9
2206,10744.516666666666,0,0,18,0,9,9
2207,9564.633333333335,0,0,22,0,11,11
2208,8420.583333333332,0,0,18,0,9,9
2209,8397.683333333332,0,0,22,0,11,11
2210,8591.766666666665,0,0,18,0,9,9
2211,11918.516666666668,0,0,22,0,11,11
2212,9510.133333333333,0,0,22,0,11,11
2213,8332.233333333334,0,0,22,0,11,11
2214,11422.31666666667,146.23333333333335,0,22,0,11,11
2215,12855.58333333333,2537,0.1,26,6,19,7
2216,15737.15,7933.816666666666,0.1,18,7,16,2
2217,17034.25,13847.333333333334,0.1,13,6,13,0
2218,17513.833333333336,19974.48333333333,0,7,0,6,1
2219,12562.199999999999,24029.566666666666,0,2,0,2,0
2220,14292.483333333332,26113.416666666664,0,4,0,4,0
2221,11470.899999999998,26334.233333333337,0,8,0,8,0
2222,17390.36666666667,25213.166666666668,0,7,0,7,0
2223,15300.366666666667,21800.666666666668,0,10,0,9,1
2224,18174.649999999998,15330.5,0.1,14,3,14,0
2225,15036.266666666665,7862.133333333333,0.1,13,4,13,0
2226,16389.399999999998,1125.8333333333333,0,12,0,6,6
2227,13403.9,0,0,14,0,7,7
2228,15596.849999999999,2.6666666666666665,0,14,0,7,7
2229,13957.68333333333,0.016666666666666663,0,14,0,7,7
2230,12815.099999999999,0,0,14,0,7,7
2231,9756.583333333328,0,0,16,0,8,8
